"id","sport_key","sport_title","commence_time","home_team","away_team"
"b4f7dcc39a54bba1703ed08f2b74fe52","tennis_wta_french_open","WTA French Open","2024-05-30T20:27:01Z","Victoria Azarenka","Mirra Andreeva"
"7cf7c22593ea0ffcdb44cba1bc703c2d","tennis_wta_french_open","WTA French Open","2024-05-31T00:00:00Z","Liudmila Samsonova","Elisabetta Cocciaretto"
"237903f6b695a48f57e648af085b83d2","tennis_wta_french_open","WTA French Open","2024-05-31T09:00:00Z","Olga Danilovic","Donna Vekic"
"92bccdedd83111ad3801b80c60a84d69","tennis_wta_french_open","WTA French Open","2024-05-31T10:00:00Z","Coco Gauff","Dayana Yastremska"
"ca8a87ccff34481a28654cbddc3ac4f7","tennis_wta_french_open","WTA French Open","2024-05-31T10:15:00Z","Anastasia Potapova","Xinyu Wang"
"81054bbb054faa61ffac803ac23ae7d7","tennis_wta_french_open","WTA French Open","2024-05-31T10:15:00Z","Chloe Paquet","Marketa Vondrousova"
"60041fb7ba06b434f3eb1246f88b6863","tennis_wta_french_open","WTA French Open","2024-05-31T10:40:00Z","Clara Tauson","Sofia Kenin"
"30f6ffd67a6d8487a9b48734c9741a20","tennis_wta_french_open","WTA French Open","2024-05-31T12:15:00Z","Leylah Fernandez","Ons Jabeur"
"4696458a522623c5d852ef606adf1ec2","tennis_wta_french_open","WTA French Open","2024-06-01T09:00:00Z","Paula Badosa","Aryna Sabalenka"
"cc5a2b370983f5b0d324d2cb7fdb394f","tennis_wta_french_open","WTA French Open","2024-06-01T09:00:00Z","Elise Mertens","Elena Rybakina"
